"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
1,0,0,3,5,1,2,1,64,38,34,NA,NA,NA,1,1,1,1,0,1,0,0,1,0
0,1,0,1,0,1,0,0,NA,NA,NA,46,26,38,3,0,1,0,0,1,0,1,0,0
0,1,0,0,0,1,0,1,35,45,38,NA,NA,NA,3,1,2,1,1,2,0,0,0,1
1,0,0,4,3,2,0,1,43,59,38,31,38,38,0,4,2,2,3,2,0,0,0,0
0,0,1,2,1,1,0,0,44,52,38,57,58,38,1,2,2,5,4,2,0,0,0,0
0,0,1,2,1,1,0,0,47,37,38,36,38,38,2,1,2,0,2,2,0,0,0,0
0,0,1,2,2,2,1,1,49,54,38,53,42,38,5,4,2,2,1,2,0,0,0,0
1,0,0,0,1,0,1,0,51,47,38,43,43,38,1,1,2,1,3,2,0,0,0,0
1,0,0,0,1,0,1,0,63,56,38,NA,NA,NA,4,3,2,2,4,2,0,0,1,0
0,0,1,2,1,1,0,0,76,40,34,72,51,34,1,0,1,1,2,1,0,0,0,0
0,0,1,1,1,1,1,0,54,28,30,29,55,30,4,1,3,1,2,3,0,0,0,0
1,0,0,2,5,2,3,2,NA,NA,NA,59,17,30,4,5,3,6,3,3,0,1,0,0
1,0,0,1,2,0,1,0,57,25,30,40,44,30,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,1,1,1,68,41,38,33,48,38,0,0,0,0,0,0,0,0,0,0
0,0,1,1,2,2,1,2,NA,NA,NA,61,39,38,0,0,0,0,0,0,0,1,0,0
0,1,0,2,1,2,0,1,64,43,38,54,54,38,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,38,53,38,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,0,0,45,52,38,39,61,38,0,0,0,0,0,0,0,0,0,0
0,0,1,2,2,2,1,1,43,59,38,41,60,38,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,40,51,38,55,51,38,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,58,74,46,55,40,46,0,2,1,0,1,1,0,0,0,0
0,1,0,2,1,2,0,1,38,66,46,70,62,46,0,2,1,1,1,1,0,0,0,0
0,0,1,0,2,2,2,2,59,60,46,67,64,46,0,3,1,2,0,1,0,0,0,0
1,0,0,1,1,0,0,0,67,66,46,NA,NA,NA,4,0,1,1,1,1,0,0,0,1
1,0,0,1,3,1,2,1,NA,NA,NA,58,65,46,1,1,1,0,4,1,1,0,0,0
1,0,0,1,2,1,1,1,41,61,46,61,48,46,1,1,1,2,2,1,0,0,0,0
0,1,0,0,0,1,0,1,NA,NA,NA,46,74,46,1,2,1,2,0,1,1,0,0,0
1,0,0,1,1,0,0,0,59,67,46,62,50,46,0,2,1,2,0,1,0,0,0,0
1,0,0,2,3,0,1,0,NA,NA,NA,74,64,46,0,1,1,3,0,1,1,0,0,0
1,0,0,0,1,0,1,0,70,56,46,60,54,46,2,2,1,2,1,1,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,0,1
0,0,1,0,0,0,0,0,63,65,46,84,52,46,1,0,1,1,0,1,0,0,0,0
1,0,0,2,2,1,0,1,70,67,46,53,61,46,2,1,1,2,2,1,0,0,0,0
1,0,0,2,2,1,1,0,NA,NA,NA,NA,NA,NA,2,1,1,0,1,1,0,1,0,1
1,0,0,1,1,0,0,0,74,77,46,48,46,46,2,3,1,1,2,1,0,0,0,0
1,0,0,1,1,0,0,0,48,54,46,63,59,46,1,0,1,3,1,1,0,0,0,0
0,1,0,2,1,2,1,0,54,80,46,NA,NA,NA,1,2,1,0,1,1,0,0,1,0
0,1,0,1,1,3,0,3,NA,NA,NA,59,73,46,3,0,1,1,1,1,1,0,0,0
1,0,0,1,2,0,1,0,60,79,46,NA,NA,NA,2,4,1,0,3,1,0,0,1,0
0,1,0,0,0,1,0,1,64,77,46,NA,NA,NA,1,1,1,2,1,1,0,0,0,1
0,1,0,2,1,3,1,1,50,59,46,85,45,46,2,2,1,1,2,1,0,0,0,0
1,0,0,4,3,2,1,0,72,58,46,63,65,46,1,0,1,4,2,1,0,0,0,0
